Original_Frame_Index,Frame Index,Crystallite_Domain_Size_nm,Peak_Center_q_A_inv,Measured_FWHM_q_A_inv
133,132,52.64267303354704,0.94742325200279,0.01115303501917012
134,133,54.108213671739236,0.9473792359515214,0.010873089341817783
135,134,53.89219703095889,0.9475604567624828,0.010913360371691376
136,135,54.18410154090835,0.9475205440873217,0.01085902100667815
137,136,54.28115007423499,0.9473406887061753,0.0108410893430523
138,137,51.171245895441174,0.9473449164147814,0.011450837563318085
139,138,54.77843260614149,0.947393573978341,0.010750241400392373
140,139,54.115777409534665,0.9475174969955248,0.01087168531417316
141,140,57.54456701761311,0.947349140179869,0.010274659952335709
142,141,53.141206938186166,0.9473338363662173,0.011056008512014862
143,142,55.213316804214045,0.9474607280898854,0.010672186003627276
144,143,53.74409937838641,0.9474750993638106,0.010941163711393552
145,144,53.26233929911234,0.9474298688330739,0.011032717569209894
146,145,53.7438673138195,0.9472339037200025,0.010941207403164779
147,146,54.25395510462922,0.9474064254209369,0.010846107442409594
148,147,54.60409881119443,0.9473464132954988,0.010781894591865845
149,148,54.27246545194813,0.9473316067221739,0.01084269128876761
150,149,54.19964034751757,0.9472649285661435,0.010856145417546733
151,150,53.24375322901146,0.947450616490266,0.011036284102589103
152,151,56.7389702773783,0.9473877288707565,0.010408185476293868
153,152,56.96200955245846,0.9472725763279081,0.010370823316222025
154,153,52.94474671645944,0.9473238057237552,0.011094018211679133
155,154,54.13833968146942,0.9472826986628975,0.010867499585414699
156,155,54.085479928065226,0.9473762883868714,0.010877311773417676
157,156,57.95767491793102,0.9471263555902621,0.010207688710345417
158,157,51.917862413718694,0.9472058238949278,0.011297545733990411
