Fit-Time_MAPI_1pct_APA_S1_30_tube_5min,Peak1Area_MAPI_1pct_APA_S1_30_tube_5min,Peak1Amplitude_MAPI_1pct_APA_S1_30_tube_5min,Peak1Pos_MAPI_1pct_APA_S1_30_tube_5min,Peak1FWHM_MAPI_1pct_APA_S1_30_tube_5min,Peak1Alpha_MAPI_1pct_APA_S1_30_tube_5min
95.42259766763847,39.270298830762144,288.01047779195534,1.6035924424418726,0.12044110044061695,0.358087280200347
95.92219241982507,40.437925176409465,295.04096350975857,1.603181003028615,0.12096497614217361,0.36313723691488903
96.42178717201165,41.65492161829041,303.26027920119685,1.6028648802492396,0.12080205173542446,0.3843053081927333
96.92138192419824,42.4966184073514,308.3712396258698,1.6028119799764882,0.12099945531567324,0.39430442190299414
97.42097667638483,42.803744352850046,310.0608614508364,1.6026414731463645,0.1208958029035323,0.4099678762783213
97.92057142857142,42.40587623135667,306.61275979024145,1.6025193974806553,0.12102879025668911,0.41447394203065513
98.420166180758,42.174072652444664,305.55524445532683,1.601833702938047,0.12069308179481553,0.41902253384343946
98.9197609329446,41.14512361919221,299.45666327363233,1.6011263392580397,0.12004429485663559,0.4241760119892621
99.41935568513118,41.75636138219369,305.9293983096261,1.600186972477042,0.1190824269578814,0.4327075007982044
99.91895043731778,40.83356123221966,301.2168901461643,1.5994608228937697,0.11815953666825574,0.43851541507080505
100.41854518950436,42.08241914530463,312.022676788564,1.5989011037925356,0.1175744785429107,0.4375689434419134
100.91813994169095,41.05568529752847,306.0957788651621,1.5982564081461945,0.11706478961816202,0.43041473551404974
101.41773469387753,41.98454240783626,313.6902097064487,1.597846650645672,0.11676061674704585,0.43324291768294815
101.91732944606413,41.47671626159968,311.13997688734304,1.597253640752346,0.11626553164276965,0.43471744615282787
102.41692419825071,41.49472106633165,311.4553722614772,1.597135644838088,0.11620320210878976,0.43445678270617616
102.91651895043731,41.675586653799925,313.8302919283561,1.5966851227179208,0.11579460059744928,0.43612946743055925
103.41611370262389,40.80885770524555,307.77632760748116,1.5967034932055888,0.11559447111427579,0.43729869435975444
103.91570845481048,41.45036984427115,313.5535055227603,1.5962936345448278,0.11523072096200959,0.43822625909531826
104.41530320699707,39.6966989039129,300.49719380344317,1.5963202653575164,0.11545625045546548,0.4221342030089991
104.91489795918366,40.80428169265902,309.32509420966,1.595881726428817,0.11524945780540374,0.42429924354074844
